taxon,specimen,ITS,psbJ_petA,trnL_trnF
Oxalis_densifolia,Cabral93,OQ310875,OQ295996,OQ296022
Oxalis_zamorana,Balslev6515,OQ623657,NA,OR099886
Oxalis_zamorana,Madsen75130,OQ623658,OR099863,NA
Oxalis_alvimii,Fiaschi4597,OQ310870,OQ295991,OQ296017
Oxalis_mandioccana,Richetti29,OQ310885,OQ296006,OQ296033
Oxalis_capixaba,Costa117,OQ310893,OQ296013,OQ296041
Oxalis_sciophila,Costa118,OQ310890,OQ296011,OQ296039
Oxalis_leonii,Costa122,OQ310892,OQ296012,OQ296040
Oxalis_occulta,Fiaschi5058,OQ310894,OQ296014,OQ296042
Oxalis_fruticosa,Fiaschi4658,OQ310877,OQ295998,OQ296024
Oxalis_glaucescens,Felix13539,KC602029,KC602053,KC602083
Oxalis_glaucescens,Melo6630,NA,OR099844,OR099870
Oxalis_alstonii,Vaio413,MH705067,MH705088,EU437129
Oxalis_alstonii,Costa882,OQ623639,OR099837,OR099864
Oxalis_alstonii,Fiaschi5180,OQ623644,OR099846,NA
Oxalis_blackii,Fiaschi4661,OQ623641,OR099839,NA
Oxalis_blackii,Costa115,MH705068,MH705089,MH705073
Oxalis_colatinensis,Fiaschi4625,MH705069,MH705090,MH705074
Oxalis_colatinensis,Fiaschi4631,OQ310873,OQ295994,OQ296020
Oxalis_kollmannii,Fiaschi4663,OQ310872,OQ295993,OQ296019
Oxalis_neuwiedii,Almeida1336,MH705072,MH705094,MH705078
Oxalis_polymorpha_var_cauliflora,Richetti70,OQ623652,OR099854,OR099878
Oxalis_animarum,Fiaschi4591,OQ623653,OR099855,OR099879
Oxalis_umbraticola,UnknownN,NA,MH705095,MH705079
Oxalis_erosa,UnknownN,MH705070,MH705092,MH705076
Oxalis_erosa,Cabral138,OQ310876,OQ295997,OQ296023
Oxalis_psoraleoides_subsp_insipida,Antar1317,NA,OR099856,OR099880
Oxalis_psoraleoides_subsp_insipida,CabralIS4,OR094469,OR099857,NA
Oxalis_psoraleoides_subsp_insipida,Vaio431,KC602030,KC602054,NA
Oxalis_rhombeo-ovata,Vaio526,KC602031,NA,KC602084
Oxalis_ciliata,Cabral124,NA,OR099841,OR099867
Oxalis_cordata,Cabral125,NA,OR099842,OR099868
Oxalis_goyazensis,Cabral100,OQ623643,OR099845,OR099871
Oxalis_grisea,Vaio512,KC602025,KC602050,KC602079
Oxalis_hirsutissima,Cordeiro987,OQ623646,NA,OR099874
Oxalis_physocalyx,Cabral172,OQ623650,OR099852,NA
Oxalis_physocalyx,Melo6953,OQ310888,OQ296009,OQ296036
Oxalis_praetexta,Cabral159,OQ310889,OQ296010,OQ296037
Oxalis_barrelieri,Vaio517,KC602027,KC602052,KC602081
Oxalis_cratensis,Cabral134,NA,OR099843,OR099869
Oxalis_cytisoides,Cabral139,OQ310874,OQ295995,OQ296021
Oxalis_diamantinae,Richetti61,OQ623649,OR099851,OR099876
Oxalis_divaricata,Felix13386,KC602028,KC602055,KC602082
Oxalis_frutescens,JPC29,MH705071,MH705093,MH705077
Oxalis_frutescens,Vaio426,KC602026,KC602051,KC602080
Oxalis_hedysarifolia,Almeida1980,OQ623642,OR099840,OR099866
Oxalis_hyalotricha_subsp_borealis,Richetti65,NA,OR099848,OR099873
Oxalis_hyalotricha_subsp_borealis,Melo4854,OQ623648,OR099850,OR099875
Oxalis_hyalotricha_subsp_hyalotricha,Cabral170,OQ623647,OR099849,NA
Oxalis_pyrenea_var_macrochaeta,Cabral96,OQ623651,OR099858,OR099881
Oxalis_sellowii,Cabral109,OQ623655,OR099860,OR099883
Oxalis_suborbiculata,Cabral110,OQ623656,OR099861,OR099884
Oxalis_suborbiculata,Cabral111,OQ310896,OQ296016,OQ296044
Oxalis_suborbiculata,Cabral114,OR099885,NA,OR099862
Oxalis_acetosella,Emshwiller114,JN603193,JN836783,JN639537
Oxalis_articulata_subsp_articulata,Vaio242,KX249610,KX249681,KX249638
Oxalis_articulata_subsp_rubra,Vaio226,KX249615,KX249679,KX249640
Oxalis_atacamensis,Heibl01-54,JN634724,NA,JN620121
Oxalis_bifrons,Fiaschi3633,KC602021,KC602047,KC602074
Oxalis_bipartita,Vaio320,JN836778,JN836810,NA
Oxalis_brasiliensis,Vaio337,JN836768,JN836812,JN836766
Oxalis_caesia,Heibl02-12,JN634727,NA,JN620124
Oxalis_cinerea,Heibl03-95,JN634728,NA,JN620125
Oxalis_conorrhiza,Vaio206,NA,KC602042,KC602068
Oxalis_corniculata,AGWS1,KC602004,KC602032,KC602056
Oxalis_decaphylla,Gardner29,JN618522,JN836813,JN639552
Oxalis_debilis,Vaio62,JN836774,JN836806,JN836760
Oxalis_enneaphylla,HeiblMunoz_04-45,JN634732,NA,JN620127
Oxalis_eriocarpa,Vaio31,KC602020,KC602046,KC602073
Oxalis_geralensis,UnknownN,KX249625,NA,KX249650
Oxalis_hepatica,Nuernberg1800,OQ623645,OR099847,OR099872
Oxalis_holosericea,HeiblFiaschianzelt05-25,JN634734,NA,JN620130
Oxalis_hypsophila,HeiblFiaschianzelt05-40,JN634735,NA,JN620131
Oxalis_incana,HeiblFiaschianzelt05-45,JN634736,NA,JN620132
Oxalis_linarantha,RA_Wasum_3369,JN618508,NA,JN639541
Oxalis_loricata,UnknownN,JN634741,NA,JN620137
Oxalis_nelsonii,Gardner66,JN618559,JN836841,JN639580
Oxalis_pachyrrhiza,Weingend8479,JN634747,NA,JN620144
Oxalis_palmifrons,MO824,FJ211166,NA,KC329489
Oxalis_pampeana,Nuernberg1875,OQ623640,OR099838,OR099865
Oxalis_paranaenses,VaioMVC2,KC602024,KC602049,KC602076
Oxalis_pes-caprae,Emshwiller608,JN618510,JN836792,EU437145
Oxalis_pseudocernua,UnknownN,EU436880,NA,EU437045
Oxalis_ptychoclada,Emshwiller916,JN603197,JN836786,EU437134
Oxalis_purpurea,MO300,FJ211171,NA,KC329488
Oxalis_rosea,Lammers7916,JN603194,JN836784,JN639538
Oxalis_sarmentosa,MVC13,KC602022,KC602048,KC602075
Oxalis_sarmentosa,Nuernberg1849,OQ623654,OR099859,OR099882
Oxalis_sellowiana,Vaio73,JN836780,JN836805,JN836759
Oxalis_triangularis,Emshwiller456,JN618512,JN836793,EU437141
Oxalis_tuberosa,Emshwiller50_02,JN603198,JN836787,KC602077
