species,specimen,ITS,petA_psbJ,trnL_trnF
Oxalis_alvimii,P_Fiaschi_4597,OQ310870,OQ295991,OQ296017
Oxalis_amorimii,P_Fiaschi_5457,PQ536092,PQ585589,PQ585606
Oxalis_animarum,P_Fiaschi_4591,NA,OR099855,OR099879
Oxalis_barrelieri,M_Vaio_517,KC602027,KC602052,KC602081
Oxalis_blackii,Costa,115,MH705068,MH705089,MH705073
Oxalis_caesariata,P_Fiaschi_5273,PP175926,PP179507,PP179511
Oxalis_alstonii_subsp_lutzii,Melo_4829,PQ536091,PQ585585,PQ585602
Oxalis_cf_polymorpha,P_Fiaschi_4617,PQ536093,PQ585595,NA
Oxalis_cf_polymorpha,P_Fiaschi_4618,PQ536094,PQ585594,PQ585611
Oxalis_cf_polymorpha,P_Fiaschi_5415,PQ536095,PQ585593,PQ585610
Oxalis_cipoensis,Costa,110,PQ536096,PQ585587,PQ585604
Oxalis_colatinensis,P_Fiaschi_4625,MH705069,MH705090,MH705074
Oxalis_cornicarpa,P_Fiaschi_5428,OQ310886,OQ296007,OQ296034
Oxalis_decipiens,E_Richetti_64,PQ536097,PQ585588,PQ585605
Oxalis_divaricata,LP_Felix_13386,KC602028,KC602055,KC602082
Oxalis_frutescens,M_Vaio_426,KC602026,KC602051,KC602080
Oxalis_glaucescens,LP_Felix_13539,KC602029,KC602053,KC602083
Oxalis_hyalotricha_subsp_borealis,Melo_4854,OQ623648,OR099850,OR099875
Oxalis_idimae,E_Richetti_70,OQ623652,OR099854,OR099878
Oxalis_inopinata,P_Fiaschi_5544,OR964281,OR966574,OR966575
Oxalis_itatingae,P_Fiaschi_4472,PQ536098,PQ585599,PQ585615
Oxalis_jacobinensis,FS_Cabral_226,PQ536099,PQ585590,PQ585607
Oxalis_kollmannii,P_Fiaschi_4663,OQ310872,OQ295993,OQ296019
Oxalis_kollmannii,J_Vasques_53,PQ536100,PQ585591,PQ585608
Oxalis_monochasiata,P_Fiaschi_4585,PQ536101,PQ585592,PQ585609
Oxalis_neuwiedii,Almeida_1336,MH705072,MH705094,MH705078
Oxalis_pardoensis,Caxambu_5990,OL998717,NA,NA
Oxalis_physocalyx,Melo_6953,OQ310888,OQ296009,OQ296036
Oxalis_psoraleoides_subsp_insipida,M_Vaio_431,KC602030,KC602054,NA
Oxalis_puberula,G_Rhoden_7,PQ536102,PQ585596,PQ585612
Oxalis_rhombeo-ovata,Melo_4750,PQ536103,PQ585597,PQ585613
Oxalis_roselata,G_Rhoden_16,PQ536104,PQ585586,PQ585603
Oxalis_sarmentosa,M_Vaio_13,KC602048,KC602048,KC602075
Oxalis_aff_umbraticola,G_Rhoden_19,NA,PQ585598,PQ585614
Oxalis_suborbiculata,FS_Cabral_110,OQ623656,OR099861,OR099884
Oxalis_umbraticola,EK_Nery_91,NA,PQ585601,PQ585617
Oxalis_umbraticola,E_Richetti_69,PQ536105,PQ585600,PQ585616