taxon,specimen,ITS,ncpGS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL
Oxalis_hygrophila,KumwendaDreyer0001,EU437024,NA,NA,NA,NA,AJ582333,EU437310,NA
Oxalis_hypsophila,HeibPfanzelt05-040,JN634735,NA,NA,NA,JN587328,JN620131,NA,NA
Oxalis_imbricata,Oberlander0062,EU436896,NA,NA,NA,NA,EU437056,EU437184,NA
Oxalis_impatiens,Bilk382a,OQ310878,NA,NA,OQ295999,NA,OQ296025,NA,NA
Oxalis_incana,HeiblPfanzelt05-045,JN634736,NA,JN607483,NA,JN587329,JN620132,JN627227,JN620095
Oxalis_incarnata,Emshwiller149,JN618509,NA,NA,JN836791,NA,JN639542,NA,JN836863
Oxalis_inconspicua,Dreyer707,EU436944,NA,NA,NA,NA,EU437086,EU437230,NA
Oxalis_inopinata,Fiaschi5544,OR964281,NA,NA,OR966574,NA,OR966575,NA,NA
Oxalis_itamarajuensis,Fiaschi4657,OQ310895,NA,NA,OQ296015,NA,OQ296043,NA,NA
Oxalis_itatingae,Fiaschi4472,PQ536098,NA,NA,PQ585599,NA,PQ585615,NA,NA
Oxalis_jacobinensis,Cabral226,PQ536099,NA,NA,PQ585590,NA,PQ585607,NA,NA
Oxalis_jacquiniana,Gardner43,JN618535,NA,NA,JN836830,NA,JN639569,NA,JN836898
Oxalis_jasminifolia,Cornejo9331,1,NA,NA,1,NA,1,NA,NA
Oxalis_johnstonii,Heibl01-080,NA,NA,JN607484,NA,NA,JN620133,NA,JN620096
Oxalis_kamiesbergensis,MO592cfkamiebergensis,EU436970,NA,NA,NA,NA,EU437102,EU437256,NA
Oxalis_lutzii,Melo4829,PQ536091,NA,NA,PQ585585,NA,PQ585602,NA,NA
Oxalis_nippponica_subsp_kantoensis,Aoki25,LC206033,NA,NA,LC206141,NA,LC206355,NA,LC206248
Oxalis_knuthiana,Dreyer721,EU436884,NA,NA,NA,NA,AJ582325,EU437173,NA
Oxalis_kollmannii,Vasques53,PQ536100,NA,NA,PQ585591,NA,PQ585608,NA,NA
Oxalis_kuhlmannii,Fiaschi4662,OQ310880,NA,NA,OQ296001,NA,OQ296027,NA,NA
Oxalis_laciniata,HeiblMunozToro04-047,JN634737,NA,NA,NA,NA,JN620134,JN627228,JN620097
Oxalis_lanata,Dreyer751,EU437027,NA,NA,NA,NA,EU437125,NA,NA
Oxalis_lasiandra,Gardner69,JN618537,NA,NA,JN836831,NA,JN639570,NA,JN836899
Oxalis_lasiopetala,Vaio87,KX249626,NA,NA,KX249666,NA,KX249651,NA,KX249652
Oxalis_lateriflora,Dreyer651,EU436890,NA,NA,NA,NA,EU437051,NA,NA
Oxalis_latifolia,Gardner38,JN618539,NA,NA,JN836834,NA,JN639573,NA,JN836902
Oxalis_laxa_var_hispidissima,Zuloaga12555,1,NA,NA,NA,NA,1,NA,NA
Oxalis_laxa_var_laxa,Heibl03-091,JN634738,NA,JN607486,NA,JN587332,JN620135,JN627229,JN620098
Oxalis_leonii,Costa122,OQ310892,NA,NA,OQ296012,NA,OQ296040,NA,NA
Oxalis_leptocalyx,Oberlander0076,EU437001,NA,NA,NA,NA,EU437113,EU437287,NA
Oxalis_leptogramma,Dreyer617,EU437014,NA,NA,NA,NA,AJ582327,EU437300,NA
Oxalis_leucolepis,Aoki420,LC206073,NA,NA,LC206181,NA,LC206395,NA,LC206288
Oxalis_lichenoides,Dreyer785,EU436919,NA,NA,NA,NA,AJ582328,EU437207,NA
Oxalis_linarantha,Fiaschi3710,KX249629,NA,NA,NA,NA,NA,NA,NA
Oxalis_linearis,Dreyer679,EU436972,NA,NA,NA,NA,AJ582329,EU437258,NA
Oxalis_livida,Oberlander0078,EU436889,NA,NA,NA,NA,EU437050,NA,NA
Oxalis_lomana,Gaspar2,1,NA,1,NA,1,NA,NA,NA
Oxalis_longissima,Emshwiller64/247,U74270,NA,NA,NA,NA,NA,NA,NA
Oxalis_loricata,HeiblPfanzelt05-006,JN634741,NA,JN607487,NA,JN587312,JN620137,NA,NA
Oxalis_lotoides,Emshwiller789,NA,AF470241,NA,NA,NA,NA,NA,NA
Oxalis_louisae,Dreyer708,EU436928,NA,NA,NA,NA,AJ582330,EU437215,NA
Oxalis_lucumayensis_subsp_lucumayensis,Emshwiller485,NA,AF470248,NA,NA,NA,NA,NA,NA
Oxalis_lucumayensis_subsp_subiens,Emshwiller289,NA,AF470250,NA,NA,NA,NA,NA,NA
Oxalis_luteola,Oberlander0026,EU436904,NA,NA,NA,NA,AJ582331,EU437192,NA
Oxalis_macrocarpa,Gardner49,JN618556,NA,NA,JN836819,NA,JN639558,NA,JN836888
Oxalis_magellanica,HeiblBotGardenMunich02,JN634742,NA,JN607488,NA,JN587313,JN620138,JN627231,JN620101
Oxalis_magnifica,Gardner68,JN618557,NA,NA,JN836839,NA,JN639578,NA,JN836907
Oxalis_mandioccana,Fiaschi4660,OQ310882,NA,NA,OQ296002,NA,OQ296029,NA,NA
Oxalis_massoniana,Holmes0016,EU437015,NA,NA,NA,NA,EU437120,EU437301,NA
Oxalis_matancillae,HeiblMunozToro04-023,NA,NA,NA,NA,JN587334,NA,NA,NA
Oxalis_medicaginea,Emshwiller809,NA,AF470240,NA,NA,NA,NA,NA,NA
Oxalis_megalorrhiza,Gaspar173,1,NA,1,NA,1,NA,NA,NA
Oxalis_meisneri,Oberlander0088,EU436993,NA,NA,NA,NA,EU437110,EU437279,NA
Oxalis_melanosticta,Dreyer622,EU436901,NA,NA,NA,NA,AJ582332,EU437189,NA
Oxalis_melilotoides,Emshwiller190,U74271,AF470245,NA,NA,NA,NA,NA,NA
Oxalis_micrantha,Heibl03-092,JN634744,NA,JN607490,NA,NA,JN620140,JN627233,NA
Oxalis_microcarpa,Cornejo9341,NA,NA,NA,1,NA,NA,NA,NA
Oxalis_minuta,MO163minuta,EU437028,NA,NA,NA,NA,NA,NA,NA
Oxalis_mollendoensis,Ge18325,OQ412269,NA,NA,NA,NA,NA,NA,NA
Oxalis_mollissima,Emshwiller359/x415,U74272,NA,NA,NA,NA,NA,NA,NA
Oxalis_monochasiata,Fiaschi4585,PQ536101,NA,NA,PQ585592,NA,PQ585609,NA,NA
Oxalis_monophylla,DreyerOberlander0003,EU436927,NA,NA,NA,NA,AJ582335,EU437214,NA
Oxalis_monticola,Vaio20,KX249630,NA,NA,KX249667,NA,KX249655,NA,KX249656
Oxalis_morelosii,Perez4856,JN618558,NA,NA,JN836840,NA,JN639579,NA,JN836908
Oxalis_morenoensis,Heibl01-009,JN634745,NA,JN607491,NA,NA,JN620141,NA,NA
Oxalis_morronei,Zabala204,1,NA,NA,NA,NA,1,NA,NA
Oxalis_multicaulis,Oberlander0080,EU436998,NA,NA,NA,NA,EU437112,EU437284,NA
Oxalis_muscoides,Zuloaga12256,MH220856,NA,MH998369,NA,NA,NA,NA,NA
Oxalis_nahuelhuapiensis,Biganzoli2126,MH220863,NA,MH998372,NA,NA,NA,NA,NA
Oxalis_namaquana,Dreyer713,EU436941,NA,NA,NA,NA,AJ582336,EU437228,NA
Oxalis_natans,Oberlander0160,EU437009,NA,NA,NA,NA,EU437117,EU437295,NA
Oxalis_nelsonii,Gardner66,JN618559,NA,NA,JN836841,NA,JN639580,NA,JN836909
Oxalis_neuwiedii,Almeida1336,MH705072,NA,NA,MH705094,NA,MH705078,NA,MH705086
Oxalis_nidulans,Dreyer752,EU437026,NA,NA,NA,NA,AJ582337,EU437312,NA
Oxalis_niederleinii,Vaio190,KC602018,NA,NA,KC602044,NA,KC602071,NA,KC602098
Oxalis_nortieri,Oberlander0112,EU436914,NA,NA,NA,NA,EU437068,EU437202,NA
Oxalis_novemfoliolata,Heibl01-078,NA,NA,JN607493,NA,NA,JN620142,NA,NA
Oxalis_nubigena,Emshwiller701,NA,NA,NA,NA,NA,EU437137,NA,NA
Oxalis_obliquifolia,Bellstedt711,EU436915,NA,NA,NA,NA,EU437069,EU437203,NA
Oxalis_oblongiformis,Emshwiller797,NA,AF470260,NA,NA,NA,NA,NA,NA
Oxalis_obtriangulata,JNU140,DQ151555,NA,NA,NA,NA,NA,NA,NA
Oxalis_obtusa,Dreyer691,EU436922,NA,NA,NA,NA,AJ582338,EU437210,NA
Oxalis_occulta,Fiaschi5058,OQ310894,NA,NA,OQ296014,NA,OQ296042,NA,NA
Oxalis_oculifera,Dreyer799,EU436953,NA,NA,NA,NA,AJ582339,EU437239,NA
Oxalis_oligophylla,Dreyer797,EU437023,NA,NA,NA,NA,AJ582340,EU437309,NA
Oxalis_orbicularis,Oberlander0066,EU436899,NA,NA,NA,NA,EU437058,EU437187,NA
Oxalis_oregana,Olmstead2003-33,JN159893,NA,NA,JN836782,NA,JN639536,NA,JN836852
Oxalis_oreocharis,Emshwiller583,JN618561,NA,NA,JN836843,NA,EU437142,NA,JN836911
Oxalis_oreophila,Dreyer666,EU436975,NA,NA,NA,NA,AJ582341,EU437261,NA
Oxalis_ornithopus,HeiblMunozToro04-015,NA,NA,JN607494,NA,NA,NA,JN627235,JN620104
Oxalis_ortgiesii,Emshwiller458,U74273,AF098984,NA,NA,NA,NA,NA,NA
Oxalis_orthopoda,Oberlander0068,EU436956,NA,NA,NA,NA,EU437093,EU437242,NA
Oxalis_oulophora,Emshwiller308,U74274,AF098978,NA,NA,NA,NA,NA,NA
Oxalis_pachyrrhiza,Weigend8479,JN634747,NA,JN607495,NA,JN587316,JN620144,NA,JN620105
Oxalis_pallens,Dreyer654,EU436997,NA,NA,NA,NA,AJ582342,EU437283,NA
Oxalis_palmifrons,Holmes0019,EU437021,NA,NA,NA,NA,EU437124,EU437307,NA
Oxalis_paludosa,Vaio479,KC602011,NA,NA,KC602040,NA,KC602066,NA,KC602092
Oxalis_pampeana,Nuernberg1875,OQ623640,NA,NA,OR099838,NA,OR099865,NA,NA
Oxalis_paposana,Heibl03-062,JN634748,NA,JN607496,NA,NA,JN620145,NA,JN620106
Oxalis_paranaensis,VaioC2,KC602024,NA,NA,KC602049,NA,KC602076,NA,KC602103
Oxalis_pardoensis,Caxambu5990,1,NA,NA,1,NA,1,NA,NA
Oxalis_pataxorum,Cabral196,1,NA,NA,1,NA,1,NA,NA
Oxalis_paucartambensis,Emshwiller548,NA,AF470253,NA,NA,NA,NA,NA,NA
Oxalis_peduncularis,Emshwiller466,U74277,AF098981,NA,NA,NA,NA,NA,NA
Oxalis_pendulifolia,Oberlander0067,EU437019,NA,NA,NA,NA,EU437122,EU437305,NA
Oxalis_penicillata,HeiblPfanzelt05-032,JN634749,NA,NA,NA,JN587336,NA,JN627237,JN620107
Oxalis_perdicaria,HeiblBotGardenMunich03,JN634750,NA,NA,NA,JN587337,JN620147,NA,JN620108
Oxalis_pes-caprae,Aoki6,LC206097,NA,NA,LC206204,NA,LC206418,NA,LC206311
Oxalis_petrophila,Emshwiller933,NA,AF470266,NA,NA,NA,NA,NA,NA
Oxalis_phloxidiflora,Dreyer678,EU436984,NA,NA,NA,NA,EU437106,EU437270,NA
Oxalis_physocalyx,Melo6953,OQ310888,NA,NA,OQ296009,NA,OQ296036,NA,NA
Oxalis_picchensis,Emshwiller500,NA,AF470257,NA,NA,NA,NA,NA,NA
Oxalis_pickeringii,Gaspar134,1,NA,1,1,1,1,NA,NA
Oxalis_pillansiana,Oberlander0135,EU436938,NA,NA,NA,NA,EU437082,EU437225,NA
Oxalis_pilulifera,Sartor48,NA,NA,NA,1,NA,NA,NA,NA
Oxalis_pinguiculacea,Wood22147,JN618562,NA,NA,JN836818,NA,JN639557,NA,JN836887
Oxalis_pocockiae,Dreyer626,EU436911,NA,NA,NA,NA,AJ582344,EU437199,NA
Oxalis_polymorpha,Fiaschi4618,PQ536094,NA,NA,PQ585594,NA,PQ585611,NA,NA
Oxalis_polyphylla,Cilliers0002,EU437010,NA,NA,NA,NA,AJ582345,EU437296,NA
Oxalis_polyrhiza,Emshwiller960,NA,AF470316,NA,NA,NA,NA,NA,NA
Oxalis_porphyriosiphon,Oberlander0167,EU436987,NA,NA,NA,NA,EU437107,EU437273,NA
Oxalis_praetexta,Cabral159,OQ310889,NA,NA,OQ296010,NA,OQ296037,NA,NA
Oxalis_primavera,Gardner50,JN618563,NA,NA,JN836844,NA,JN639582,NA,JN836912
Oxalis_primuloides,Dreyer711,EU436966,NA,NA,NA,NA,AJ582346,EU437252,NA
Oxalis_pseudocernua,Craven4781,EU436880,NA,NA,NA,NA,EU437045,EU437169,NA
Oxalis_psilopoda,Oberlander0064,EU436891,NA,NA,NA,NA,EU437052,EU437179,NA
Oxalis_psoraleoides,Vaio431,KC602030,NA,NA,KC602054,NA,NA,NA,KC602109
Oxalis_ptychoclada,Emshwiller916,JN603197,NA,NA,JN836786,NA,EU437134,NA,JN836857
Oxalis_puberula,Rhoden7,1,NA,NA,1,NA,1,NA,NA
Oxalis_pulchella,Dreyer612,EU436907,NA,NA,NA,NA,AJ582347,EU437195,NA
Oxalis_punctata,Cilliers0005,EU436917,NA,NA,NA,NA,AJ582367,EU437205,NA
Oxalis_purpurascens,Dreyer634,EU436881,NA,NA,NA,NA,AJ582348,EU437170,NA
Oxalis_purpurea,Oberlander0024,EU436902,NA,NA,NA,NA,AJ582349,EU437190,NA
Oxalis_pusilla,Dreyer746,EU437004,NA,NA,NA,NA,AJ582350,EU437290,NA
Oxalis_pycnophylla,Zuloaga11747,MH220861,NA,MZ417516,NA,NA,NA,NA,NA
Oxalis_macrochaeta,Cabral96,OQ623651,NA,NA,OR099858,NA,OR099881,NA,NA
Oxalis_pyrenea,Sartor65,1,NA,NA,1,NA,1,NA,NA
Oxalis_reclinata,Dreyer718,EU436968,NA,NA,NA,NA,AJ582351,EU437254,NA
Oxalis_recticaulis,Oberlander0170,EU437003,NA,NA,NA,NA,EU437115,EU437289,NA
Oxalis_refracta,Vaio496,KC602019,NA,NA,KC602045,NA,KC602072,NA,KC602099
Oxalis_rhombeo-ovata,Vaio526,KC602031,NA,NA,NA,NA,KC602084,NA,KC602110
Oxalis_ricardii,Heibl01-072,NA,NA,NA,NA,JN587319,NA,NA,JN620109
Oxalis_rigida,Heibl03-096,NA,NA,JN607499,NA,NA,JN620149,NA,NA
Oxalis_rosea,Lammers7916,JN603194,NA,NA,JN836784,NA,JN639538,JN627238,JN836854
Oxalis_roselata,Rhoden16,PQ536104,NA,NA,PQ585586,NA,PQ585603,NA,NA
Oxalis_salteri,Dreyer784,EU436932,NA,NA,NA,NA,AJ582352,EU437219,NA
Oxalis_sarmentosa,VaioC13,KC602022,NA,NA,KC602048,NA,KC602075,NA,KC602102
Oxalis_sciophila,Costa118,OQ310890,NA,NA,OQ296011,NA,OQ296039,NA,NA
Oxalis_sellowiana_forma_alba,Vaio282,JN836779,NA,NA,JN836809,NA,JN836763,NA,JN836879
Oxalis_sellowiana_forma_sellowiana,Giussani421,1,NA,NA,NA,NA,1,NA,NA
Oxalis_sellowii,Cabral109,OQ623655,NA,NA,OR099860,NA,OR099883,NA,NA
Oxalis_sepium,Radavelli76,NA,NA,NA,PV779472,NA,PV779469,NA,NA
Oxalis_serpens,VaioC27,KC602017,NA,NA,KC602043,NA,KC602070,NA,KC602097
Oxalis_setosa,Bellstedt770,EU436916,NA,NA,NA,NA,EU437070,EU437204,NA
Oxalis_smalliana,Brinegar,MW843007,NA,NA,MW863663,NA,NA,NA,NA
Oxalis_smithiana,Bellstedt699,EU436964,NA,NA,NA,NA,EU437099,EU437250,NA
Oxalis_sonderiana,Dreyer694,EU436945,NA,NA,NA,NA,EU437087,EU437231,NA
Oxalis_spiralis,Aoki85,LC206110,NA,NA,LC206217,NA,LC206431,NA,LC206324
Oxalis_squamata,HeiblPfanzelt05-027,JN634752,NA,NA,NA,JN587339,NA,NA,JN620110
Oxalis_squarrosa,Munzo4533,JN634753,NA,NA,NA,NA,NA,JN627239,NA
Oxalis_staffordiana,Emshwiller512,NA,AF470314,NA,NA,NA,NA,NA,NA
Oxalis_stellata,Oberlander0086,EU436894,NA,NA,NA,NA,EU437054,EU437182,NA
Oxalis_stenopetala,Dreyer675,EU436983,NA,NA,NA,NA,AJ582353,EU437269,NA
Oxalis_stenoptera,Oberlander0138,EU436934,NA,NA,NA,NA,EU437079,EU437221,NA
Oxalis_stictocheila,Dreyer749,EU436996,NA,NA,NA,NA,AJ582355,EU437282,NA
Oxalis_stricta,BR0000013234621,KT737722,NA,NA,NA,NA,KT737729,NA,KC602089
Oxalis_strigosa,Oberlander0093,EU436959,NA,NA,NA,NA,EU437096,EU437245,NA
Oxalis_suavis,Oberlander0075,EU436937,NA,NA,NA,NA,EU437081,EU437224,NA
Oxalis_subacaulis,Salomon245,MH220865,NA,MH998373,NA,NA,NA,NA,NA
Oxalis_subintegra,Emshwiller799,NA,AF470242,NA,NA,NA,NA,NA,NA
Oxalis_suborbiculata,Cabral110,OQ623656,NA,NA,OR099861,NA,OR099884,NA,NA
Oxalis_subvilosa,Nuernberg1848,1,NA,NA,1,NA,1,NA,NA
Oxalis_suteroides,Oberlander0115,EU436963,NA,NA,NA,NA,EU437098,EU437249,NA
Oxalis_tabaconasensis,Emshwiller786,NA,AF470264,NA,NA,NA,NA,NA,NA
Oxalis_tenella,Dreyer639,EU436978,NA,NA,NA,NA,AJ582356,EU437264,NA
Oxalis_teneriensis,Emshwiller605,NA,NA,NA,NA,NA,EU437133,NA,NA
Oxalis_tenerrima,VaioC30,KC602012,NA,NA,KC602041,NA,KC602067,NA,KC602093
Oxalis_tenuifolia,Oberlander0027,EU436995,NA,NA,NA,NA,EU437112,EU437281,NA
Oxalis_tenuipes,Dreyer800,EU436986,NA,NA,NA,NA,AJ582358,EU437271,NA
Oxalis_tenuis,Dreyer793,EU436989,NA,NA,NA,NA,AJ582359,EU437275,NA
Oxalis_tetraphylla,EmshwillerDEPP,JN618566,NA,NA,JN836847,NA,JN639585,NA,JN836914
Oxalis_tijucana,Vasques85,1,NA,NA,1,NA,1,NA,NA
Oxalis_tomentosa,Roller0006,EU437022,NA,NA,NA,NA,AJ582360,EU437308,NA
Oxalis_tortuosa,KrausK-94,JN634754,NA,JN607503,NA,JN587341,NA,JN627240,JN620111
Oxalis_triangularis_subsp_papilionacea,Emshwiller456,JN618512,NA,NA,JN836793,NA,EU437141,NA,JN836864
Oxalis_triangularis_subsp_triangularis,MO1165,FJ410328,NA,NA,NA,NA,NA,NA,NA
Oxalis_triangulata,Aoki34,LC206052,NA,NA,LC206160,NA,LC206374,NA,LC206267
Oxalis_trillifolia,MO275113,LC368450,NA,NA,LC368452,NA,LC368454,NA,LC368453
Oxalis_trollii,Wood22158,JN618569,NA,NA,JN836849,NA,JN639587,NA,JN836916
Oxalis_truncatula,Dreyer605,EU436960,NA,NA,NA,NA,AJ582361,EU437246,NA
Oxalis_tuberosa,Emshwiller97/50-02,JN603198,NA,NA,JN836787,NA,KC602077,NA,KC602104
Oxalis_uliginosa,MO394uliginosa,EU436933,NA,NA,NA,NA,EU437078,EU437220,NA
Oxalis_umbraticola,Richetti69,PQ536105,NA,NA,PQ585600,NA,PQ585616,NA,NA
Oxalis_unduavensis,Emshwiller168/291/351,U74260,NA,NA,NA,NA,NA,NA,NA
Oxalis_urbaniana,Bytebier2015,EU436999,NA,NA,NA,NA,AJ582362,EU437285,NA
Oxalis_valdiviensis,HeiblPfanzelt05-016,JN634755,NA,NA,NA,JN587342,JN620152,EU437162,JN620112
Oxalis_veadeirosensis,Fiaschi5330,1,NA,NA,1,NA,1,NA,NA
Oxalis_versicolor,Oberlander0034,EU437006,NA,NA,NA,NA,AJ582363,EU437292,NA
Oxalis_violacea,GardnerAGVIO1,JN618570,NA,NA,JN836850,NA,JN639588,NA,JN836917
Oxalis_virgata,Emshwiller292,U74267,NA,NA,NA,NA,EU437131,NA,NA
Oxalis_virginea,MO580virginea,EU436955,NA,NA,NA,NA,EU437092,EU437241,NA
Oxalis_virgosa,HeiblMunozToro04-042,JN634756,NA,NA,NA,NA,JN620153,NA,JN620113
Oxalis_viscosa,Dreyer642,EU436949,NA,NA,NA,NA,AJ582364,EU437235,NA
Oxalis_vulcanicola,MO702cfhedysaroides,EU436872,NA,NA,NA,NA,EU437038,EU437161,NA
Oxalis_weberbaueri,Emshwiller746,NA,AF470259,NA,NA,NA,NA,NA,NA
Oxalis_xantha,Dreyer671,EU436980,NA,NA,NA,NA,AJ582365,EU437266,NA
Oxalis_yungasensis,Emshwiller437/350,U74286,NA,NA,NA,NA,NA,NA,NA
Oxalis_zamorana,Madsen75130,OQ623658,NA,NA,OR099863,NA,NA,NA,NA
Oxalis_zeekoevleyensis,Oberlander0012,EU436900,NA,NA,NA,NA,EU437059,EU437188,NA
Oxalis_zeyheri,MO590cfzeyheri,EU436962,NA,NA,NA,NA,EU437097,EU437248,NA
